RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-05-31,2022-07-31,2023-04-30
394720,249,"Janesville, WI",Msa,WI,2022-04-30,1.7,5.2,11.6
394710,250,"Jackson, MI",Msa,MI,2022-04-30,1.5,5.0,11.1
395009,251,"Punta Gorda, FL",Msa,FL,2022-04-30,3.9,10.0,21.9
394393,252,"Bloomington, IN",Msa,IN,2022-04-30,1.0,3.7,10.0
395007,253,"Pueblo, CO",Msa,CO,2022-04-30,1.8,5.7,15.7
394386,254,"Billings, MT",Msa,MT,2022-04-30,2.0,5.2,10.0
394406,255,"Bowling Green, KY",Msa,KY,2022-04-30,0.8,4.3,9.3
394380,256,"Bend, OR",Msa,OR,2022-04-30,2.4,7.2,16.0
394306,257,"Albany, GA",Msa,GA,2022-04-30,0.7,3.1,7.1
395193,258,"Vineland, NJ",Msa,NJ,2022-04-30,1.5,5.0,11.5
394917,259,"Niles, MI",Msa,MI,2022-04-30,1.8,5.2,10.5
394731,260,"Kahului, HI",Msa,HI,2022-04-30,2.5,6.3,13.6
394946,261,"Ottawa, IL",Msa,IL,2022-04-30,0.8,3.4,7.4
395125,262,"State College, PA",Msa,PA,2022-04-30,1.5,4.3,7.3
394359,263,"Bangor, ME",Msa,ME,2022-04-30,1.6,6.5,14.4
394314,264,"Alexandria, LA",Msa,LA,2022-04-30,1.4,4.0,5.5
394523,265,"Decatur, AL",Msa,AL,2022-04-30,1.3,4.5,10.0
394662,266,"Hanford, CA",Msa,CA,2022-04-30,1.9,5.7,12.4
394707,267,"Iowa City, IA",Msa,IA,2022-04-30,1.5,4.3,7.1
395036,268,"Rocky Mount, NC",Msa,NC,2022-04-30,1.7,4.7,11.0
394873,269,"Monroe, MI",Msa,MI,2022-04-30,1.3,3.8,8.1
395223,270,"Wichita Falls, TX",Msa,TX,2022-04-30,1.0,3.8,9.5
394428,271,"Burlington, NC",Msa,NC,2022-04-30,2.1,7.3,16.6
394814,272,"Madera, CA",Msa,CA,2022-04-30,1.4,5.0,13.8
394723,273,"Jefferson City, MO",Msa,MO,2022-04-30,1.0,3.7,8.4
394453,274,"Chambersburg, PA",Msa,PA,2022-04-30,1.3,4.3,9.0
395152,275,"Texarkana, TX",Msa,TX,2022-04-30,1.0,3.8,9.0
394563,276,"Elizabethtown, KY",Msa,KY,2022-04-30,1.4,4.5,10.2
395000,277,"Pottsville, PA",Msa,PA,2022-04-30,1.1,5.0,12.1
395221,278,"Wheeling, OH",Msa,OH,2022-04-30,0.8,3.3,8.1
394598,279,"Florence, AL",Msa,AL,2022-04-30,1.3,4.8,11.1
394639,280,"Grand Junction, CO",Msa,CO,2022-04-30,2.1,5.8,14.1
394493,281,"Concord, NH",Msa,NH,2022-04-30,1.2,4.4,11.3
394537,282,"Dothan, AL",Msa,AL,2022-04-30,1.6,4.2,7.6
395066,283,"Santa Fe, NM",Msa,NM,2022-04-30,1.5,4.7,10.8
394727,284,"Johnstown, PA",Msa,PA,2022-04-30,0.5,2.2,5.5
395163,285,"Traverse City, MI",Msa,MI,2022-04-30,1.5,5.1,12.8
394671,286,"Hattiesburg, MS",Msa,MS,2022-04-30,0.7,2.8,6.0
394515,287,"Dalton, GA",Msa,GA,2022-04-30,3.0,6.2,13.1
394860,288,"Midland, TX",Msa,TX,2022-04-30,0.6,2.6,5.0
394685,289,"Homosassa Springs, FL",Msa,FL,2022-04-30,2.5,7.6,18.6
394351,290,"Auburn, AL",Msa,AL,2022-04-30,0.8,3.2,8.1
395182,291,"Valdosta, GA",Msa,GA,2022-04-30,1.8,4.8,9.9
394480,292,"Coeur d'Alene, ID",Msa,ID,2022-04-30,1.8,5.9,17.5
395117,293,"Springfield, OH",Msa,OH,2022-04-30,1.2,4.5,9.8
395119,294,"St. George, UT",Msa,UT,2022-04-30,1.6,6.7,17.4
395079,295,"Vero Beach, FL",Msa,FL,2022-04-30,3.1,9.3,20.2
394930,296,"Odessa, TX",Msa,TX,2022-04-30,0.2,1.8,2.3
394900,297,"Napa, CA",Msa,CA,2022-04-30,1.5,4.6,9.7
395170,298,"Tupelo, MS",Msa,MS,2022-04-30,0.7,2.8,5.7
394368,299,"Battle Creek, MI",Msa,MI,2022-04-30,1.4,4.4,10.9
394719,300,"Jamestown, NY",Msa,NY,2022-04-30,2.1,5.8,12.6
394577,301,"Eureka, CA",Msa,CA,2022-04-30,1.1,4.7,11.0
395013,302,"Rapid City, SD",Msa,SD,2022-04-30,1.3,4.0,10.0
394595,303,"Flagstaff, AZ",Msa,AZ,2022-04-30,3.2,8.0,17.7
394810,304,"Lumberton, NC",Msa,NC,2022-04-30,0.9,3.2,8.7
395215,305,"Wausau, WI",Msa,WI,2022-04-30,1.6,4.8,10.6
394756,306,"La Crosse, WI",Msa,WI,2022-04-30,1.0,3.6,8.4
394783,307,"Lebanon, PA",Msa,PA,2022-04-30,1.2,3.8,9.1
394703,308,"Idaho Falls, ID",Msa,ID,2022-04-30,1.0,4.4,15.3
395098,309,"Sierra Vista, AZ",Msa,AZ,2022-04-30,1.9,4.3,9.9
394983,310,"Pittsfield, MA",Msa,MA,2022-04-30,2.5,7.0,13.0
394780,311,"Lawton, OK",Msa,OK,2022-04-30,1.4,3.8,6.8
394588,312,"Farmington, NM",Msa,NM,2022-04-30,1.4,4.5,11.6
394712,313,"Jackson, TN",Msa,TN,2022-04-30,1.3,5.2,12.6
394879,314,"Morgantown, WV",Msa,WV,2022-04-30,0.8,2.8,5.4
394633,315,"Glens Falls, NY",Msa,NY,2022-04-30,1.4,4.4,8.9
395232,316,"Winchester, VA",Msa,VA,2022-04-30,1.0,3.9,8.9
395120,317,"St. Joseph, MO",Msa,MO,2022-04-30,1.2,3.9,7.6
394321,318,"Altoona, PA",Msa,PA,2022-04-30,1.1,3.6,7.1
394905,319,"New Bern, NC",Msa,NC,2022-04-30,1.6,4.9,10.2
394442,320,"Carbondale, IL",Msa,IL,2022-04-30,0.7,2.8,5.3
394802,321,"London, KY",Msa,KY,2022-04-30,0.9,3.0,6.3
394800,322,"Logan, ID",Msa,UT,2022-04-30,2.6,7.4,18.2
394668,323,"Harrisonburg, VA",Msa,VA,2022-04-30,0.7,2.8,6.8
394374,324,"Beckley, WV",Msa,WV,2022-04-30,0.8,2.6,4.2
394824,325,"Mansfield, OH",Msa,OH,2022-04-30,1.9,5.2,11.5
395217,326,"Weirton, OH",Msa,OH,2022-04-30,0.8,2.8,6.0
394635,327,"Goldsboro, NC",Msa,NC,2022-04-30,1.9,5.3,11.0
394353,328,"Augusta, ME",Msa,ME,2022-04-30,2.1,6.7,16.8
394661,329,"Hammond, LA",Msa,LA,2022-04-30,1.6,4.4,6.3
394728,330,"Jonesboro, AR",Msa,AR,2022-04-30,1.2,4.1,9.2
395094,331,"Sherman, TX",Msa,TX,2022-04-30,2.6,6.9,17.0
394333,332,"Anniston, AL",Msa,AL,2022-04-30,0.9,3.2,8.7
395128,333,"Staunton, VA",Msa,VA,2022-04-30,0.7,3.0,6.6
394893,334,"Muncie, IN",Msa,IN,2022-04-30,1.7,5.4,13.6
